,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,date_posted,days_listed
0,25500,2011,ford f-150,good,6,gas,88705,automatic,pickup,white,1,2018-10-19,50
1,5500,2013,hyundai sonata,like new,4,gas,110000,automatic,sedan,red,0,2019-02-07,79
2,14900,2017,chrysler 200,excellent,4,gas,80903,automatic,sedan,black,0,2019-04-02,28
3,14990,2014,chrysler 300,excellent,6,gas,57954,automatic,sedan,black,1,2018-06-20,15
4,12990,2015,toyota camry,excellent,4,gas,79212,automatic,sedan,white,0,2018-12-27,73
5,15990,2013,honda pilot,excellent,6,gas,109473,automatic,SUV,black,1,2019-01-07,68
6,9200,2008,honda pilot,excellent,6,gas,147191,automatic,SUV,blue,1,2019-02-15,17
7,19500,2011,chevrolet silverado 1500,excellent,8,gas,128413,automatic,pickup,black,1,2018-09-17,38
8,8990,2012,honda accord,excellent,4,gas,111142,automatic,sedan,grey,0,2019-03-28,29
9,16500,2018,hyundai sonata,excellent,4,gas,22104,automatic,sedan,silver,0,2019-01-14,29
10,12990,2009,gmc yukon,excellent,8,gas,132285,automatic,SUV,black,1,2019-01-31,24
11,17990,2013,ram 1500,excellent,8,gas,107871,automatic,pickup,red,1,2018-05-15,111
12,14990,2010,ram 1500,excellent,8,gas,130725,automatic,pickup,red,1,2018-12-30,13
13,13990,2014,jeep cherokee,excellent,6,gas,100669,automatic,SUV,red,1,2018-08-16,25
14,12500,2013,chevrolet traverse,excellent,6,gas,128325,automatic,SUV,white,1,2019-04-09,13
15,13990,2018,hyundai elantra,excellent,4,gas,31932,automatic,sedan,red,0,2018-08-25,27
16,6990,2009,chevrolet tahoe,excellent,8,gas,147485,automatic,SUV,silver,1,2018-08-05,28
17,7500,2004,chevrolet silverado,like new,8,gas,180000,automatic,truck,red,1,2019-01-05,64
18,7500,2004,jeep wrangler,good,6,gas,99915,automatic,SUV,red,1,2018-05-17,39
19,3950,2009,chrysler 200,excellent,4,gas,85000,automatic,sedan,red,0,2018-06-11,40
20,8499,2014,ford fusion se,like new,4,gas,79523,automatic,sedan,red,0,2018-10-25,23
21,12999,2015,chevrolet impala,like new,6,gas,39368,automatic,sedan,custom,0,2018-05-19,42
22,29800,2012,chevrolet corvette,excellent,8,gas,57413,automatic,coupe,orange,0,2018-10-22,101
23,5495,2010,chevrolet impala,excellent,6,gas,120946,automatic,sedan,white,0,2019-02-18,20
24,5000,2009,jeep liberty,good,6,gas,137273,automatic,SUV,white,1,2019-02-19,14
25,9499,2015,nissan altima,like new,4,gas,51848,automatic,sedan,grey,0,2018-11-12,7
26,3890,2011,subaru outback,excellent,4,gas,300000,automatic,SUV,white,1,2018-12-25,31
27,8000,2009,ford f-150,good,8,gas,234000,automatic,truck,black,1,2019-03-31,1
28,11499,2017,chevrolet equinox,like new,4,gas,54772,automatic,SUV,grey,1,2019-01-12,36
29,11995,2017,nissan rogue,like new,4,gas,66003,automatic,SUV,silver,1,2018-09-20,21
30,5100,2008,honda cr-v,excellent,4,gas,188000,automatic,SUV,red,1,2018-11-18,10
31,2400,2001,toyota camry,good,4,gas,277564,automatic,coupe,yellow,0,2018-05-27,51
32,11200,2015,dodge charger,excellent,6,gas,90302,automatic,sedan,black,1,2018-07-19,73
33,12500,2008,toyota 4runner,good,6,gas,141098,automatic,SUV,grey,0,2019-03-10,35
34,3200,2006,honda civic,excellent,4,gas,255390,automatic,sedan,blue,0,2018-10-18,23
35,6200,2006,ford f-150,excellent,6,gas,69698,automatic,truck,custom,0,2018-05-03,50
36,3800,2012,ford focus,good,4,gas,130323,automatic,sedan,black,0,2018-11-29,261
37,3300,2011,kia soul,good,4,gas,188963,manual,SUV,black,0,2019-02-16,71
38,10400,2012,chevrolet colorado,excellent,5,gas,111871,automatic,truck,red,1,2019-01-30,27
39,30300,2017,ford f150 supercrew cab xlt,good,6,gas,30339,automatic,pickup,brown,1,2018-07-15,14
40,4200,2006,jeep grand cherokee,excellent,6,gas,122390,automatic,SUV,white,1,2018-07-01,79
41,4877,2012,chevrolet cruze,excellent,4,gas,163261,automatic,sedan,white,0,2019-04-18,21
42,3200,2004,bmw x5,excellent,6,gas,108500,automatic,SUV,black,1,2019-04-09,10
43,5200,2006,toyota highlander,good,6,gas,186000,automatic,SUV,green,0,2018-12-20,2
44,13000,2005,ram 1500,good,8,gas,146000,automatic,truck,grey,1,2019-03-14,26
45,16999,2013,chevrolet silverado 1500,good,8,gas,137230,automatic,truck,white,1,2018-05-29,24
46,10499,2017,chevrolet cruze,good,4,gas,53601,automatic,sedan,black,0,2019-01-13,48
47,30000,1966,ford mustang,excellent,6,gas,51000,manual,convertible,red,0,2019-01-23,17
48,15999,2017,chevrolet cruze,good,4,gas,17498,automatic,sedan,black,0,2018-11-07,54
49,12800,2011,ford f-150,excellent,6,gas,108500,automatic,pickup,white,0,2018-09-23,15
50,14999,2013,chevrolet silverado 3500hd,good,8,gas,120000,automatic,truck,white,1,2018-05-09,22
51,14950,2012,ram 1500,excellent,8,gas,114773,automatic,truck,grey,1,2019-04-09,85
52,7800,2011,ford f-150,like new,8,gas,97510,automatic,truck,white,1,2019-02-20,39
53,5500,2006,honda accord,good,4,gas,131000,automatic,sedan,silver,0,2018-11-27,15
54,3650,2011,subaru impreza,excellent,4,gas,74000,automatic,sedan,blue,1,2018-08-07,60
55,1900,1994,jeep grand cherokee laredo,good,6,gas,207,automatic,SUV,grey,1,2018-07-27,9
56,9950,2008,toyota 4runner,excellent,6,gas,156000,automatic,SUV,silver,1,2018-06-08,53
57,3000,2010,nissan versa,like new,4,gas,200412,automatic,hatchback,silver,0,2018-09-23,33
58,4200,2012,ford focus,like new,4,gas,144273,automatic,sedan,silver,0,2018-06-11,19
59,23800,2019,nissan frontier crew cab sv,good,6,gas,10899,other,pickup,silver,1,2019-02-28,30
60,16500,2012,ford f-250 sd,good,8,gas,123262,automatic,truck,silver,1,2018-09-25,47
61,5900,2000,ford f250 super duty,good,8,diesel,202752,automatic,pickup,red,0,2018-07-08,32
62,9950,2014,dodge charger,good,8,gas,102878,automatic,sedan,white,0,2018-06-02,28
63,11950,2008,chevrolet silverado,good,8,gas,170000,automatic,truck,black,1,2019-03-13,38
64,4995,2013,hyundai elantra,like new,4,gas,151223,automatic,sedan,custom,0,2018-09-15,1
